,Sample_ID,ZIP_Code,Median_Income,Mean_Income
0,40414551,34689,43644,62942
1,30318006,34689,43644,62942
2,40417296,34689,43644,62942
3,30317651,34689,43644,62942
4,40418781,34689,43644,62942
5,30304386,34689,43644,62942
6,40416636,34689,43644,62942
7,30301521,34689,43644,62942
8,30317026,34689,43644,62942
9,40414336,34689,43644,62942
10,30301991,34689,43644,62942
11,30306051,34689,43644,62942
12,30303776,34689,43644,62942
13,30315786,34689,43644,62942
14,30315046,34689,43644,62942
15,40404211,34689,43644,62942
16,40419006,34689,43644,62942
17,40418621,34689,43644,62942
18,40418276,34653,36547,43427
19,30304356,34653,36547,43427
20,40418221,34653,36547,43427
21,40403256,34653,36547,43427
22,40401586,34653,36547,43427
23,40418961,34653,36547,43427
24,30318346,34653,36547,43427
25,30305746,34653,36547,43427
26,40403636,34653,36547,43427
27,40402066,34653,36547,43427
28,40418741,34653,36547,43427
29,40403226,34653,36547,43427
30,40406321,34653,36547,43427
31,40414521,34653,36547,43427
32,40405391,34653,36547,43427
33,40414291,34653,36547,43427
34,40414826,34653,36547,43427
35,40401611,34653,36547,43427
36,30315336,34653,36547,43427
37,40402901,34653,36547,43427
38,40403656,34653,36547,43427
39,40401856,34653,36547,43427
40,40402361,34653,36547,43427
41,40402981,34653,36547,43427
42,30306086,34653,36547,43427
43,40403966,34653,36547,43427
44,30301936,34653,36547,43427
45,30303686,34653,36547,43427
46,30316271,34653,36547,43427
47,30316951,34653,36547,43427
48,40416406,34653,36547,43427
49,30302686,34653,36547,43427
50,40415046,34653,36547,43427
51,30317866,34653,36547,43427
52,40409966,33837,51948,60267
53,40424871,33837,51948,60267
54,30312436,33837,51948,60267
55,30324516,33837,51948,60267
56,40423926,33837,51948,60267
57,30312666,33837,51948,60267
58,40424886,33837,51948,60267
59,40409671,33837,51948,60267
60,30312466,33837,51948,60267
61,40410536,33837,51948,60267
62,40410646,33837,51948,60267
63,40410591,33837,51948,60267
64,40424791,33837,51948,60267
65,40424671,33837,51948,60267
66,30310751,33837,51948,60267
67,30311276,33837,51948,60267
68,30322776,33837,51948,60267
69,40412076,33837,51948,60267
70,40422751,33837,51948,60267
71,40412551,33837,51948,60267
72,30310476,33837,51948,60267
73,30324431,33837,51948,60267
74,30323681,33837,51948,60267
75,30322651,33837,51948,60267
76,40410026,33870,30507,39783
77,30310656,33870,30507,39783
78,30312171,33870,30507,39783
79,30312276,33870,30507,39783
80,30324471,33870,30507,39783
81,40423556,33870,30507,39783
82,30323466,33870,30507,39783
83,30311151,33870,30507,39783
84,30310946,33870,30507,39783
