,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
0,10100106.0,1.0,6.0,6.0,10.0,3.0,-1.0,6.0
1,10100111.0,1.0,2.0,20.0,20.0,20.0,-1.0,4.0
2,10100131.0,1.0,6.0,6.0,3.0,4.0,-1.0,5.0
3,10100146.0,1.0,24.0,-1.0,99.0,11.0,-1.0,2.0
4,10100171.0,1.0,18.0,-1.0,7.0,18.0,-1.0,2.0
5,10100211.0,1.0,10.0,10.0,7.0,5.0,20.0,3.0
6,10100241.0,1.0,6.0,9.0,6.0,6.0,-1.0,5.0
7,10100261.0,1.0,99.0,99.0,1.0,2.0,-1.0,2.0
8,10100276.0,1.0,10.0,10.0,5.0,1.0,-1.0,3.0
9,10100291.0,1.0,2.0,3.0,8.0,8.0,2.0,3.0
10,10100311.0,1.0,7.0,7.0,7.0,7.0,-1.0,2.0
11,10100316.0,1.0,10.0,10.0,2.0,10.0,-1.0,6.0
12,10100321.0,1.0,7.0,-1.0,15.0,15.0,-1.0,2.0
13,10100341.0,1.0,16.0,16.0,16.0,1.0,-1.0,4.0
14,10100381.0,1.0,5.0,5.0,5.0,15.0,-1.0,2.0
15,10100421.0,1.0,7.0,7.0,7.0,3.0,7.0,3.0
16,10100436.0,1.0,6.0,6.0,6.0,6.0,-1.0,1.0
17,10100446.0,1.0,18.0,18.0,18.0,18.0,-1.0,2.0
18,10100471.0,1.0,15.0,15.0,2.0,15.0,-1.0,5.0
19,10100476.0,1.0,7.0,7.0,7.0,7.0,-1.0,5.0
20,10100481.0,1.0,4.0,4.0,5.0,1.0,10.0,6.0
21,10100496.0,1.0,15.0,15.0,15.0,15.0,10.0,1.0
22,10100501.0,1.0,3.0,3.0,10.0,10.0,-1.0,6.0
23,10100506.0,1.0,20.0,20.0,6.0,16.0,-1.0,4.0
24,10100516.0,1.0,7.0,7.0,7.0,7.0,-1.0,6.0
25,10100536.0,1.0,0.0,2.0,2.0,2.0,-1.0,1.0
26,10100541.0,3.0,10.0,0.0,10.0,1.0,10.0,6.0
27,10100551.0,1.0,6.0,6.0,6.0,2.0,-1.0,6.0
28,10100561.0,1.0,1.0,1.0,1.0,1.0,-1.0,3.0
29,10100571.0,1.0,15.0,15.0,15.0,16.0,15.0,5.0
