zip,SAMPLE_ID,SAMPLE_ENERGY,green,mycellphone,payattn,considerproduct,veryhotdays,firstone,conscientiousrecycle,reduceenergy,realeffort,willingchanges,highenergyproblem,ccreal,scarce,solar,wind,muchasican,futurepower,phev
34689,40414551,21156,0,6.0,6.0,8.0,9.0,6.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0,9.0
33870,40410026,16647,0,3.0,7.0,8.0,6.0,3.0,7.0,9.0,10.0,8.0,9.0,1.0,6.0,9.0,7.0,4.0,4.0,5.0
34639,30315451,14462,0,8.0,7.0,8.0,9.0,3.0,2.0,6.0,7.0,3.0,3.0,2.0,3.0,4.0,4.0,8.0,7.0,3.0
33774,40416196,15384,0,1.0,10.0,10.0,7.0,3.0,10.0,6.0,10.0,6.0,7.0,1.0,7.0,8.0,8.0,5.0,5.0,5.0
29550,20210151,27143,0,5.0,10.0,10.0,5.0,7.0,8.0,8.0,9.0,3.0,9.0,2.0,5.0,3.0,3.0,10.0,10.0,5.0
32792,40420196,13500,0,3.0,4.0,9.0,8.0,1.0,10.0,6.0,6.0,2.0,10.0,10.0,10.0,10.0,10.0,3.0,6.0,10.0
33765,30314391,26194,0,8.0,7.0,7.0,8.0,4.0,4.0,3.0,5.0,2.0,8.0,1.0,3.0,6.0,6.0,7.0,7.0,1.0
33771,30314831,17866,0,3.0,5.0,5.0,7.0,3.0,3.0,8.0,9.0,8.0,8.0,7.0,6.0,8.0,7.0,5.0,7.0,3.0
33708,40404271,20177,0,1.0,9.0,7.0,10.0,7.0,10.0,10.0,10.0,7.0,6.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0
33756,40416561,8068,0,1.0,8.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0
34683,40404431,11148,0,2.0,5.0,9.0,8.0,2.0,5.0,9.0,9.0,7.0,9.0,4.0,9.0,6.0,6.0,6.0,6.0,2.0
27530,20216886,9333,0,6.0,8.0,1.0,1.0,6.0,10.0,7.0,5.0,7.0,6.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0
32765,40409241,9160,0,8.0,5.0,5.0,5.0,2.0,10.0,8.0,8.0,5.0,2.0,6.0,5.0,2.0,2.0,7.0,5.0,3.0
33759,40415711,14797,0,5.0,4.0,3.0,2.0,6.0,2.0,2.0,2.0,4.0,8.0,8.0,9.0,8.0,9.0,6.0,6.0,7.0
34655,40404956,6191,0,6.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,9.0,10.0
34715,40410196,19986,0,8.0,10.0,8.0,10.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,1.0
28365,10117096,5535,0,5.0,10.0,8.0,9.0,4.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,8.0,9.0,7.0
27501,10100751,24767,0,10.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,10.0
34786,30322071,19097,0,10.0,5.0,9.0,2.0,8.0,8.0,9.0,10.0,6.0,8.0,9.0,4.0,8.0,8.0,8.0,4.0,3.0
29596,10110396,12962,0,7.0,9.0,7.0,7.0,6.0,6.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,7.0
34639,30303241,15933,0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
33781,30318451,14457,0,7.0,9.0,9.0,7.0,3.0,4.0,8.0,9.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,9.0,6.0
27502,10104341,2540,0,7.0,8.0,8.0,8.0,6.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0,9.0
33825,30310461,11358,0,1.0,10.0,10.0,1.0,10.0,9.0,5.0,5.0,3.0,10.0,1.0,10.0,1.0,10.0,10.0,10.0,1.0
32725,40420611,15417,0,10.0,9.0,6.0,1.0,7.0,10.0,8.0,8.0,7.0,10.0,1.0,8.0,8.0,7.0,8.0,5.0,9.0
33709,30316646,23120,0,3.0,6.0,8.0,9.0,1.0,9.0,8.0,9.0,6.0,8.0,2.0,4.0,7.0,7.0,4.0,5.0,1.0
29150,10108501,17733,0,5.0,10.0,3.0,3.0,5.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,7.0,1.0
32819,30322221,26676,0,5.0,5.0,5.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0
33761,40402876,12231,0,3.0,5.0,5.0,1.0,2.0,2.0,4.0,7.0,3.0,5.0,2.0,5.0,7.0,7.0,4.0,3.0,6.0
27520,20200176,18327,0,9.0,5.0,5.0,5.0,1.0,1.0,10.0,10.0,5.0,10.0,4.0,7.0,5.0,1.0,8.0,10.0,7.0
32807,40410121,16774,0,1.0,10.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0
33756,40403296,13243,0,10.0,10.0,10.0,6.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
33542,40403641,15728,0,1.0,8.0,8.0,1.0,1.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0
32720,40420951,3932,0,1.0,10.0,1.0,1.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
29571,10112441,19570,0,1.0,10.0,10.0,6.0,6.0,10.0,6.0,10.0,10.0,10.0,1.0,10.0,6.0,6.0,10.0,1.0,1.0
29581,10110751,1307,0,1.0,10.0,9.0,1.0,1.0,1.0,10.0,10.0,5.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,1.0
33761,40418581,25030,0,1.0,8.0,1.0,1.0,3.0,8.0,8.0,8.0,5.0,5.0,5.0,1.0,1.0,1.0,8.0,1.0,1.0
33770,30303546,6696,0,9.0,9.0,10.0,4.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,7.0
33844,30312231,14217,0,3.0,6.0,7.0,8.0,4.0,10.0,8.0,9.0,6.0,9.0,8.0,8.0,10.0,10.0,9.0,7.0,7.0
27501,20214956,28621,0,7.0,3.0,6.0,5.0,4.0,4.0,10.0,10.0,7.0,10.0,5.0,8.0,5.0,5.0,8.0,8.0,1.0
34684,40417301,10394,0,2.0,7.0,2.0,2.0,2.0,8.0,7.0,8.0,5.0,6.0,8.0,5.0,6.0,6.0,6.0,5.0,5.0
32096,40414016,10716,0,10.0,10.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,1.0
