,Sample_ID,ZIP_Code
0,40414551,34689
1,40418276,34653
2,40409966,33837
3,40410026,33870
4,30312281,33872
5,30311176,33844
6,30315451,34639
7,40416196,33774
8,40414231,33710
9,40405751,33761
10,20210151,29550
11,40401891,34639
12,40401876,33761
13,40406101,33778
14,40406386,33542
15,40420196,32792
16,40416181,33703
17,30314391,33765
18,30312221,34748
19,30303881,33710
20,30314946,34683
21,10109931,28379
22,30314831,33771
23,20216706,28405
24,20216901,28512
25,40404271,33708
26,40416561,33756
27,20216461,28366
28,20212016,29501
29,20211511,29574
30,20209116,29153
31,40416486,33704
32,40404431,34683
33,40424616,33844
34,40413846,34442
35,20217901,27534
36,40411561,33843
37,20216886,27530
38,40409241,32765
39,40415711,33759
40,40404956,34655
41,30318616,33542
42,30317501,33709
43,40424771,33872
44,40412821,32340
45,40404826,33761
46,40413261,34479
47,20220951,28732
48,20220106,28716
49,40411061,32821
50,40410196,34715
51,30317336,33542
52,10104561,27616
53,30300261,34432
54,30316356,33760
55,30305441,33761
56,10117096,28365
57,10115366,28348
58,10114706,27534
59,10100751,27501
60,30322071,34786
61,10104806,27541
62,30320811,32750
63,10110396,29596
64,30303241,34639
65,30318451,33781
66,30315646,33776
67,10104341,27502
68,10114036,28530
69,30310461,33825
70,40405636,33759
71,40420611,32725
72,10115961,28428
73,30309241,32825
74,40407456,32818
75,20211541,28387
76,20210956,29102
77,40408686,32763
78,30316646,33709
79,30307781,32817
80,10108501,29150
81,30322221,32819
82,30310906,34759
83,30306606,32726
84,30300971,34452
85,40416461,33756
86,40411716,33825
87,40402876,33761
88,20200176,27520
89,40410121,32807
90,40410876,32811
91,40403296,33756
92,40403641,33542
93,40400846,32456
94,40420951,32720
95,20220606,28803
96,10112441,29571
97,30317296,33705
98,30324286,33852
99,10110751,29581
100,10102831,27856
101,30303361,33707
102,10119881,28786
103,40418581,33761
104,40400741,34446
105,40400631,34491
106,20208846,27557
107,30318136,33761
108,30303446,34690
109,30318521,33781
110,30302571,33714
111,30312576,33844
112,30305491,33763
113,30303546,33770
114,30302836,33759
115,30305631,34668
116,30312231,33844
117,10101251,27516
118,30312926,34446
119,10110806,27330
120,20219136,28715
121,20214956,27501
122,40402221,33701
123,40417301,34684
124,40415031,34683
125,40414016,32096
126,30323491,33881
127,30310516,32837
128,10116481,28428
129,20202371,27511
130,20214921,28510
131,20218086,28580
132,20213351,28580
133,20205891,27597
134,40417961,34668
135,40416676,34683
136,30317351,34698
137,40404136,33772
138,40412401,33876
139,40408161,32726
140,20216831,28401
141,20217636,28557
142,40416691,34691
143,40406091,33540
144,30310656,33870
145,10109256,29506
146,30324251,34787
147,30317881,33706
148,10119141,28748
149,10116151,28504
150,30307911,32708
151,10101306,27511
152,10104636,27549
153,10107331,27501
154,30318726,34652
155,10103231,27605
156,30321631,34787
157,30311986,32825
158,40423676,34761
159,10105351,27614
160,30318706,33708
161,30322106,34758
162,40401076,34446
163,20207711,27612
164,20203916,27536
165,30317126,33702
166,20214156,28443
167,20210526,27330
168,40412661,33844
169,40418936,33764
170,20216421,28328
171,40415261,33762
172,20216836,28409
173,20215036,28405
174,40416381,33707
175,40416071,34698
176,40422336,33853
177,40406191,33540
178,40412066,34747
179,40421846,32798
180,20214261,28337
181,40401286,34601
182,20205171,27563
183,40416301,34655
184,40405876,33761
185,40412456,33859
186,40405141,33776
187,20208336,27856
188,40405001,33710
189,40418186,33705
190,40412516,34714
191,40419596,32726
192,40418801,33542
193,40400441,34472
194,40424871,33837
195,40409141,32757
196,40421831,32765
197,40408976,32707
198,40401596,34652
199,40416666,34652
200,40413531,34434
201,40414161,33703
202,30315141,34690
203,30305806,33542
204,30324426,34758
205,30312171,33870
206,30316801,33540
207,30310866,34786
208,30302546,33781
209,10118081,28504
210,10109041,29153
211,30313506,34465
212,30313236,34491
213,30302756,33704
214,30310776,33838
215,30300886,34442
216,10105061,27612
217,30321476,32720
218,30301281,32344
219,30318006,34689
220,30305996,34684
221,30322436,32835
222,10120826,28778
223,40416686,33756
224,40421896,32778
225,40409196,32778
226,20219231,28785
227,30311221,34758
228,30316486,33708
229,40417296,34689
230,40413166,34465
231,40421271,32714
232,40405401,33705
233,40420241,32828
234,40422666,33853
235,40409361,32735
236,20219696,28804
237,20220176,28806
238,20220356,28803
239,20220196,28803
240,20202431,27529
241,40404906,33705
242,20215646,28557
243,40409396,32744
244,40404391,33712
245,40421046,32763
246,40406501,32778
247,40405571,33755
248,10118166,27534
249,30319646,34788
250,20220411,28786
251,40420376,32714
252,40418651,33756
253,20219346,28711
254,40413146,34472
255,30303666,33709
256,30313891,32008
257,30323691,34762
258,30310061,32824
259,30320156,32792
260,10118186,28392
261,30305881,33541
262,10120681,28716
263,30318081,33759
264,10118136,28412
265,20205311,27511
266,30318471,33541
267,40422726,32835
268,40401656,33714
269,40401456,33759
270,40409116,32724
271,40409801,33834
272,20216911,28403
273,40408141,32725
274,20219476,28786
275,40403726,33755
276,40424621,32822
277,30311636,32809
278,30314041,33702
279,30300801,32346
280,40413311,32348
281,30308136,32828
282,10119691,28755
283,10119241,28786
284,10119696,28786
285,30307676,32750
286,30322971,32821
287,30316796,33708
288,10114871,28403
289,10102751,27511
290,10115591,28409
291,30304726,33714
292,30315356,33713
293,10110271,29536
294,10105951,27612
295,10108431,27529
296,40405826,33708
297,20215451,28405
298,20219961,28711
299,20210986,29554
300,40403071,33703
301,40403151,33714
302,10108056,27856
303,10104911,27549
304,30306771,32751
305,30308616,32730
306,30319186,32712
307,30322256,32818
308,10120131,28803
309,30308036,32726
310,40401156,34472
311,20211106,29501
312,40424861,33853
313,40404456,33710
314,20219901,28705
315,40401376,34448
316,30320241,32810
